Date&Time,Ozone,Nitric oxide,Nitrogen dioxide,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),
2023-12-01 01:00:00,18.02782,0.68321,12.61468,8.975,7.594,
2023-12-01 02:00:00,20.35614,0.12057,10.64647,8.65,6.863,
2023-12-01 03:00:00,22.90066,0.60283,8.58386,7.475,5.59,
2023-12-01 04:00:00,21.15442,0.33156,9.92293,6.8,5.354,
2023-12-01 05:00:00,20.20646,0.87411,10.42957,6.6,4.835,
2023-12-01 06:00:00,20.85507,0.69326,10.47608,6.325,4.41,
2023-12-01 07:00:00,16.41463,1.32624,13.61344,7,4.788,
2023-12-01 08:00:00,7.58366,19.17013,29.45545,8.55,6.179,
2023-12-01 09:00:00,1.54667,77.19293,42.863,11.225,8.184,
2023-12-01 10:00:00,5.63785,38.7321,37.17051,12.45,8.514,
2023-12-01 11:00:00,9.42968,27.70024,32.99239,13.525,7.335,
2023-12-01 12:00:00,13.9699,22.27473,30.46467,10.4,5.896,
2023-12-01 13:00:00,17.01334,16.45738,27.61463,10.05,5.448,
2023-12-01 14:00:00,29.78582,5.03367,17.5293,6.325,3.821,
2023-12-01 15:00:00,16.91356,9.52478,27.53621,11.9,7.076,
2023-12-01 16:00:00,9.72904,12.08683,32.56211,14.05,9.363,
2023-12-01 17:00:00,2.29506,35.95907,41.51476,19.675,14.882,
2023-12-01 18:00:00,1.29721,42.65053,39.47048,16.025,12.736,
2023-12-01 19:00:00,0.94796,23.78181,32.16943,15.9,12.618,
2023-12-01 20:00:00,1.09763,31.82965,32.70718,18.7,15.283,
2023-12-01 21:00:00,0.99785,35.4768,34.96154,18.15,13.986,
2023-12-01 22:00:00,1.14753,52.80829,32.84978,21.8,18.302,
2023-12-01 23:00:00,1.24731,48.0459,40.0597,22.35,18.16,
2023-12-02 00:00:00,1.49678,65.70894,42.60907,27.575,23.255,
2023-12-02 01:00:00,1.59656,61.37157,40.42767,30.75,25.944,
2023-12-02 02:00:00,1.39699,53.85587,43.27426,29.325,24.977,
2023-12-02 03:00:00,1.24731,39.00531,40.76668,24.625,21.061,
2023-12-02 04:00:00,1.14753,31.98194,44.24304,22.425,18.821,
2023-12-02 05:00:00,0.99785,25.9533,43.84022,20.125,17.099,
2023-12-02 06:00:00,0.99785,29.93221,42.03183,20.95,17.901,
2023-12-02 07:00:00,0.99785,35.08669,41.55951,22.125,19.01,
2023-12-02 08:00:00,0.99785,21.91411,39.64845,20.975,18.255,
2023-12-02 09:00:00,1.79613,15.58404,38.23082,18.925,16.038,
2023-12-02 10:00:00,6.88517,16.8802,35.55107,17.625,15.259,
2023-12-02 11:00:00,12.32345,24.68729,33.64237,20.475,17.995,
2023-12-02 12:00:00,14.46883,18.44764,25.48578,21.525,18.774,
2023-12-02 13:00:00,14.31915,19.65337,26.4987,17.9,15.66,
2023-12-02 14:00:00,8.33205,18.77922,31.39306,19.725,17.17,
2023-12-02 15:00:00,7.9828,14.19745,31.58725,17.525,14.976,
2023-12-02 16:00:00,7.48388,8.04824,31.60008,16.075,13.349,
2023-12-02 17:00:00,4.83957,5.45592,33.68251,14.9,12.642,
2023-12-02 18:00:00,4.44043,3.7679,32.02442,15.375,13.514,
2023-12-02 19:00:00,5.3385,2.86361,30.08775,17.725,15.519,
2023-12-02 20:00:00,6.18667,2.17031,28.01218,19.675,17.5,
2023-12-02 21:00:00,7.18452,1.89902,26.44344,18.85,16.793,
2023-12-02 22:00:00,10.27786,1.26601,22.65997,18.6,16.887,
2023-12-02 23:00:00,14.31915,0.96458,18.96811,17.8,15.873,
2023-12-03 00:00:00,18.41033,0.66315,16.47632,15.025,13.302,
2023-12-03 01:00:00,23.21664,0.48232,13.84569,13.15,12.146,
2023-12-03 02:00:00,23.61578,2.33119,15.50328,12.75,11.557,
2023-12-03 03:00:00,21.10453,0.5426,13.89172,16.325,14.976,
2023-12-03 04:00:00,18.80947,0.60289,15.2301,19.625,17.901,
2023-12-03 05:00:00,17.21291,1.23593,16.42878,19.55,18.019,
2023-12-03 06:00:00,16.11528,0.66318,16.52233,18.175,16.816,
2023-12-03 07:00:00,20.95485,0.5426,13.47631,16.1,14.835,
2023-12-03 08:00:00,17.9613,0.93449,13.29084,15.725,14.057,
2023-12-03 09:00:00,14.86797,1.29622,16.61327,15.25,13.538,
2023-12-03 10:00:00,14.71829,3.13505,18.40935,14.3,12.5,
2023-12-03 11:00:00,23.99829,2.89389,15.87131,12.4,11.109,
2023-12-03 12:00:00,28.28905,2.5623,14.48736,12.15,10.613,
2023-12-03 13:00:00,33.32819,1.47709,12.36654,12.25,10.66,
2023-12-03 14:00:00,33.37808,1.56752,12.92022,12.275,11.156,
2023-12-03 15:00:00,32.33034,1.26608,11.62851,14.9,11.958,
2023-12-03 16:00:00,33.07873,1.08521,10.19807,15.8,13.302,
2023-12-03 17:00:00,29.78582,0.75362,9.69108,14.925,12.736,
2023-12-03 18:00:00,28.38883,0.66318,11.16826,14.825,13.208,
2023-12-03 19:00:00,26.19356,0.60289,12.13766,15.575,13.821,
2023-12-03 20:00:00,28.88776,0.63304,11.07601,13.975,12.972,
2023-12-03 21:00:00,31.83142,0.5426,9.50691,11.85,10.826,
2023-12-03 22:00:00,33.17851,0.45217,7.61472,10.875,9.953,
2023-12-03 23:00:00,32.92905,0.36174,6.73796,10.3,9.387,
2023-12-04 00:00:00,34.52561,0.30145,5.76882,7.375,6.792,
2023-12-04 01:00:00,36.38826,0.28136,4.61492,6.5,6.061,
2023-12-04 02:00:00,38.25092,0.28136,5.10725,5.575,5.165,
2023-12-04 03:00:00,37.36948,0.36175,4.61474,5,4.481,
2023-12-04 04:00:00,39.71443,0.45219,3.96836,2.95,2.642,
2023-12-04 05:00:00,39.46497,0.33161,3.87632,2.175,1.698,
2023-12-04 06:00:00,40.06368,0.63307,3.69102,1.775,1.509,
2023-12-04 07:00:00,42.45852,0.57278,3.41422,1.225,0.943,
2023-12-04 08:00:00,40.21336,0.84409,5.72139,1.475,0.849,
2023-12-04 09:00:00,31.18281,1.9595,12.41143,4.225,2.264,
2023-12-04 10:00:00,24.74668,2.29111,15.68772,5.675,3.491,
2023-12-04 11:00:00,28.43873,1.80877,12.96563,5.375,3.609,
2023-12-04 12:00:00,38.06798,1.32643,8.53579,3.3,2.571,
2023-12-04 13:00:00,38.86626,1.29629,9.3205,2.1,1.132,
2023-12-04 14:00:00,38.36733,1.80877,9.55012,2.325,1.25,
2023-12-04 15:00:00,41.41078,1.6279,11.07366,11.425,9.741,
2023-12-04 16:00:00,40.6125,1.77863,12.27337,4.625,3.349,
2023-12-04 17:00:00,43.9054,2.04994,10.9804,2.925,1.981,
2023-12-04 18:00:00,44.45422,1.59775,10.10446,2.925,1.958,
2023-12-04 19:00:00,42.75787,1.47716,9.92011,3.6,2.618,
2023-12-04 20:00:00,43.2568,1.65804,9.87355,3.925,2.618,
2023-12-04 21:00:00,42.80777,1.38672,8.9972,3.85,2.995,
2023-12-04 22:00:00,41.61035,1.47716,8.76622,3.8,3.09,
2023-12-04 23:00:00,37.66884,1.29629,11.72059,3.35,2.783,
2023-12-05 00:00:00,39.21551,1.35658,7.19721,5.45,4.316,
2023-12-05 01:00:00,36.45479,1.2461,7.87426,5.975,5.165,
2023-12-05 02:00:00,42.30884,1.04512,6.27468,3.05,2.123,
2023-12-05 03:00:00,45.10282,0.93458,5.21336,3.175,2.17,
2023-12-05 04:00:00,45.55185,0.87428,5.25966,3.175,2.288,
2023-12-05 05:00:00,46.10067,0.93458,4.01333,3.75,2.547,
2023-12-05 06:00:00,44.00519,0.84414,5.90591,4.65,2.972,
2023-12-05 07:00:00,43.80562,0.87428,4.93657,4.675,2.759,
2023-12-05 08:00:00,42.25895,1.50739,6.64284,3.275,1.863,
2023-12-05 09:00:00,37.36948,1.17576,9.59755,3.275,1.745,
2023-12-05 10:00:00,32.67959,2.11034,12.08776,3.9,2.075,
2023-12-05 11:00:00,34.97464,2.74344,10.28622,3.8,2.146,
2023-12-05 12:00:00,41.51056,2.35152,8.62555,6,3.467,
2023-12-05 13:00:00,45.60175,1.44709,6.13527,7.575,3.821,
2023-12-05 14:00:00,48.79487,0.75369,3.78297,7.775,3.703,
2023-12-05 15:00:00,42.85766,1.02502,6.82859,7.75,3.726,
2023-12-05 16:00:00,35.87271,2.14049,13.1031,8.225,4.481,
2023-12-05 17:00:00,17.06323,11.57671,32.42011,11.4,7.076,
2023-12-05 18:00:00,1.94581,48.47747,49.87284,18.025,13.255,
2023-12-05 19:00:00,4.04129,37.77505,44.40539,15.35,11.226,
2023-12-05 20:00:00,5.38839,5.69791,38.20327,19.65,15.59,
2023-12-05 21:00:00,2.74409,7.145,42.07694,33.725,28.373,
2023-12-05 22:00:00,4.44043,5.03466,35.57397,37.8,32.5,
2023-12-05 23:00:00,7.38409,1.74857,26.07366,35.075,30.094,
2023-12-06 00:00:00,4.14108,2.50226,24.13338,27.95,23.75,
2023-12-06 01:00:00,3.45921,3.01492,21.47019,21.55,18.302,
2023-12-06 02:00:00,1.33047,4.01989,26.7602,18.55,14.693,
2023-12-06 03:00:00,3.3428,2.86417,29.48615,16.375,11.58,
2023-12-06 04:00:00,10.22796,0.84418,23.90628,13.75,10.024,
2023-12-06 05:00:00,14.96775,0.84418,21.87546,13.2,8.278,
2023-12-06 06:00:00,18.56001,0.54269,21.83003,11.875,7.193,
2023-12-06 07:00:00,18.11098,1.08537,24.27494,10.75,6.415,
2023-12-06 08:00:00,12.17377,4.82387,34.14307,11.325,6.274,
2023-12-06 09:00:00,9.77893,9.94923,39.1154,10.9,5.708,
2023-12-06 10:00:00,11.22581,16.46145,41.03814,11.675,6.439,
2023-12-06 11:00:00,11.42538,27.3453,41.79642,21.2,15.849,
2023-12-06 12:00:00,11.47528,31.47574,41.37102,16.375,10.66,
2023-12-06 13:00:00,16.46452,19.26532,39.2313,15.025,10.66,
2023-12-06 14:00:00,14.21936,16.82324,44.40659,15.225,10,
2023-12-06 15:00:00,10.6271,11.18534,47.88187,13.2,8.986,
2023-12-06 16:00:00,19.90711,5.03491,36.63493,10.175,6.91,
2023-12-06 17:00:00,30.28475,1.62806,23.99669,13.3,10.377,
